POS(x)	POS(y)	P_MLE(POS(y)|POS(x))
NN	POS	0.021704814522494082
NNP	.	0.05647176411794103
:	RBR	0.00909090909090909
RB	CC	0.010638297872340425
RBR	IN	0.35
,	JJ	0.05183585313174946
VBP	CD	0.012
``	</s>	0.006369426751592357
-NONE-	IN	0.1558139534883721
NNP	VBG	0.0014992503748125937
IN	$	0.020080321285140562
RP	.	0.03333333333333333
PRP	DT	0.00546448087431694
''	NNP	0.07741935483870968
-NONE-	JJR	0.0007751937984496124
:	NNP	0.11818181818181818
<s>	VBZ	0.00125
VBD	JJR	0.004457652303120356
CD	.	0.03669724770642202
NNP	NNP	0.4062968515742129
TO	VBN	0.0024691358024691358
VBG	RP	0.014336917562724014
NNS	WP$	0.000835421888053467
''	VBG	0.0064516129032258064
TO	-NONE-	0.009876543209876543
IN	PDT	0.001004016064257028
JJS	RB	0.07317073170731707
NN	.	0.11917916337805841
PDT	DT	1.0
$	CD	0.9906542056074766
:	JJ	0.09090909090909091
VBZ	$	0.002183406113537118
POS	VBG	0.016483516483516484
DT	JJS	0.010882708585247884
VBD	DT	0.12481426448736999
-NONE-	.	0.09922480620155039
NNS	VBD	0.08020050125313283
VBN	``	0.007352941176470588
VBP	IN	0.092
VBD	PRP	0.02526002971768202
JJ	.	0.02021018593371059
JJ	CD	0.021827000808407437
VB	``	0.004405286343612335
VBN	DT	0.056372549019607844
-RRB-	</s>	0.14285714285714285
,	EX	0.0021598272138228943
DT	VBZ	0.0048367593712212815
CD	POS	0.001834862385321101
CD	,	0.07155963302752294
<s>	NNPS	0.00125
JJS	,	0.024390243902439025
VBZ	PRP	0.021834061135371178
RB	WP	0.0017730496453900709
:	``	0.03636363636363636
RP	''	0.016666666666666666
VBD	NNP	0.02674591381872214
PRP$	VBN	0.005780346820809248
CC	NNP	0.16475972540045766
PRP	NN	0.01092896174863388
PRP$	NN	0.44508670520231214
-LRB-	VBG	0.07142857142857142
PRP	VBN	0.00273224043715847
CD	NN	0.1944954128440367
DT	``	0.006650544135429262
NNPS	NNP	0.18181818181818182
NNPS	CC	0.18181818181818182
VBZ	,	0.006550218340611353
WDT	NNS	0.015151515151515152
VBG	JJR	0.007168458781362007
VB	-NONE-	0.09030837004405286
VBD	VBN	0.09955423476968796
<s>	``	0.09
IN	RB	0.011546184738955823
MD	-NONE-	0.014184397163120567
JJ	``	0.002425222312045271
VBN	,	0.004901960784313725
NNPS	:	0.09090909090909091
:	VBP	0.03636363636363636
VBP	WP	0.004
``	VBP	0.01910828025477707
CC	MD	0.004576659038901602
JJ	RBR	0.0008084074373484236
DT	JJ	0.24123337363966144
<s>	-LRB-	0.0025
WRB	JJ	0.11428571428571428
VB	PRP	0.04185022026431718
JJ	JJ	0.07033144704931285
JJS	.	0.04878048780487805
WP$	NNS	0.3333333333333333
VBZ	.	0.004366812227074236
:	WRB	0.00909090909090909
NN	TO	0.017758484609313337
VBN	RP	0.00980392156862745
NNS	WP	0.01086048454469507
-NONE-	-NONE-	0.07984496124031008
CC	EX	0.006864988558352402
VBZ	JJR	0.004366812227074236
JJ	RB	0.0032336297493936943
<s>	NNS	0.04875
,	WP$	0.0021598272138228943
NNS	VB	0.001670843776106934
JJ	VBP	0.0008084074373484236
VBP	RBR	0.016
TO	CD	0.0345679012345679
PRP$	CD	0.03468208092485549
,	NNS	0.024838012958963283
VB	VBD	0.0022026431718061676
RB	VBG	0.028368794326241134
-NONE-	CD	0.0007751937984496124
''	DT	0.03870967741935484
DT	$	0.009673518742442563
JJR	NNP	0.01694915254237288
NNPS	``	0.045454545454545456
VBD	$	0.005943536404160475
VBG	TO	0.043010752688172046
''	IN	0.1032258064516129
NNP	-RRB-	0.0009995002498750624
VBZ	``	0.010917030567685589
WP	NNP	0.017857142857142856
-NONE-	EX	0.002325581395348837
IN	JJR	0.004016064257028112
WDT	-NONE-	0.8787878787878788
NNP	VBN	0.0009995002498750624
DT	FW	0.0006045949214026602
JJ	TO	0.007275666936135812
VBD	VB	0.005943536404160475
NN	,	0.11207576953433307
RP	,	0.08333333333333333
RBR	.	0.025
JJR	CD	0.01694915254237288
TO	VB	0.6049382716049383
``	NNP	0.1337579617834395
NNS	JJR	0.002506265664160401
IN	DT	0.3247991967871486
NN	VBZ	0.043409629044988164
IN	TO	0.001004016064257028
POS	VBZ	0.005494505494505495
VBG	-RRB-	0.0035842293906810036
``	VB	0.006369426751592357
IN	``	0.009538152610441768
VBN	CC	0.0024509803921568627
VBG	$	0.007168458781362007
VBD	,	0.0029717682020802376
-NONE-	PRP$	0.006201550387596899
:	VBN	0.00909090909090909
PRP	JJR	0.00273224043715847
NN	JJS	0.0003946329913180742
WRB	NN	0.14285714285714285
JJ	NNS	0.23524656426839127
:	VBD	0.06363636363636363
POS	JJS	0.016483516483516484
CC	WRB	0.002288329519450801
NNP	-LRB-	0.0004997501249375312
VBZ	TO	0.010917030567685589
PRP$	NNP	0.04046242774566474
WP	IN	0.017857142857142856
:	MD	0.01818181818181818
<s>	IN	0.14
VBZ	JJ	0.04148471615720524
RB	``	0.0017730496453900709
IN	JJ	0.08835341365461848
NN	:	0.01617995264404104
VBN	VBG	0.012254901960784314
EX	VBP	0.13333333333333333
VBZ	IN	0.07205240174672489
VBP	CC	0.004
CD	CC	0.02018348623853211
:	CD	0.045454545454545456
TO	DT	0.12345679012345678
DT	,	0.0006045949214026602
VBG	RB	0.06093189964157706
NN	FW	0.0003946329913180742
RB	CD	0.031914893617021274
``	EX	0.025477707006369428
WRB	RP	0.02857142857142857
VBG	,	0.017921146953405017
VBG	''	0.0035842293906810036
VB	NNS	0.037444933920704845
CC	JJR	0.004576659038901602
WRB	DT	0.2
VBP	PRP	0.02
,	PRP$	0.0032397408207343412
IN	.	0.001004016064257028
CD	:	0.007339449541284404
NNS	''	0.007518796992481203
PRP	WP	0.00546448087431694
NNS	PRP	0.000835421888053467
<s>	CD	0.00375
CC	JJS	0.006864988558352402
NN	WP	0.004735595895816891
NNP	TO	0.0079960019990005
,	CD	0.03131749460043196
DT	NN	0.44014510278113667
``	JJ	0.10191082802547771
NNP	NNPS	0.005497251374312844
JJR	CC	0.03389830508474576
CC	PRP$	0.016018306636155607
DT	NNPS	0.0024183796856106408
''	NNS	0.012903225806451613
CC	NN	0.13272311212814644
